Character|Sentence
 Subaru Natsuki | Oh... 
 Subaru Natsuki | Oh... Well, it goes, I guess... 
 Crusch Karsten | I see. 
 Crusch Karsten | Well, Felis is excellent with healing magic. 
 Crusch Karsten | You can trust him. 
 Subaru Natsuki | You always seem busy, too. 
 Crusch Karsten | In response to a certain occurrence, 
 Crusch Karsten |" my family is currently gathering
people and objects. "
 Crusch Karsten |" Plus, since word of the
royal selection spread, "
 Crusch Karsten | I've received proposals every day. 
 Crusch Karsten | I'm sure the other candidates have, as well. 
 Subaru Natsuki | P-Proposals?! 
 Subaru Natsuki | You mean, as in marriage? 
 Subaru Natsuki | Oh, yeah. 
 Subaru Natsuki | I guess they're all single... 
 Crusch Karsten | Does that bother you? 
 Subaru Natsuki | Not really. It's just... 
 Subaru Natsuki | Oh, right! 
 Subaru Natsuki | Wilhelm-san said he had a beautiful wife. 
 Crusch Karsten | Are you aware that Wilhelm serves me? 
 Subaru Natsuki | Huh? Why? 
 Felix Argyle | What are nyou doing here, Subaru-kyun ? 
 Felix Argyle | And Crusch-sama! 
 Felix Argyle | Why are you dressed so vulnerably?! 
 Crusch Karsten | Is it strange? 
 Crusch Karsten |" It's no different than what
I wear to dine with you. "
 Felix Argyle | That's exactly the problem! 
 Felix Argyle | Men are nyo thing but wolves! 
 Subaru Natsuki | You're a man, too. 
 Crusch Karsten | That's enough joking, Felis. 
 Crusch Karsten | All who were present at the royal selection 
 Crusch Karsten | know whom Subaru loves. 
 Felix Argyle | Yeah. I heard they had a fight, though. 
 Felix Argyle | I swear, Subaru-kyun , you're so easy to read! 
 Crusch Karsten | Don't cast your gaze down, Natsuki Subaru. 
 Subaru Natsuki | Huh? 
 Crusch Karsten | When your eyes are clouded, your soul darkens. 
 Crusch Karsten | That means your future is closed to you, 
 Crusch Karsten | and you lose sight of your reasons to live. 
 Crusch Karsten | When you do what you know to be right, 
 Crusch Karsten | what can you do by looking downward? 
 Crusch Karsten | Lift your head, face forward, 
 Crusch Karsten | and reach out your hands. 
 Crusch Karsten |" I do not want to regard you
as an insignificant enemy. "
 Felix Argyle | If Crusch-sama says so, 
 Felix Argyle | you have nyo choice. 
 Felix Argyle |" The point is, Subaru-kyun , you need to
hurry and make up with Emilia-sama. "
 Felix Argyle | Think about what you can do 
 Felix Argyle | to accomplish that, and do it. 
 Subaru Natsuki | What I can do? 
 Subaru Natsuki | There is something I can do. 
 Subaru Natsuki | Something that only I can do. 
 Subaru Natsuki | Yeah, that's right... 
 Subaru Natsuki | You don't even have to tell me. 
 Crusch Karsten | The wind is picking up. 
 Crusch Karsten |" It looks as if the weather will
be rough again tomorrow. "
 Wilhelm van Astrea | Shall we stop for now? 
 Subaru Natsuki | Don't be silly... 
 Subaru Natsuki | You've seen how far I've come in taking blows! 
 Wilhelm van Astrea |" Your attitude seems quite
different this morning. "
 Subaru Natsuki |" Last night, Crusch-san gave
me some good advice. "
 Subaru Natsuki |" If I just get a chance, I can make
any problem disappear! "
 Wilhelm van Astrea | Then, let us call it a day. 
 Subaru Natsuki | Huh? 
 Wilhelm van Astrea |" Well, I think teaching swordsmanship,
which will make a man stronger, "
 Wilhelm van Astrea |" to one who has abandoned the option
to get stronger seems meaningless. "
 Subaru Natsuki | What do you... 
 Rem | Subaru-kun! 
 Rem | We must discuss something important. 
 Crusch Karsten | Has Rem told you what's going on? 
 Rem | What I felt was... 
 Rem |" Something like a presence,
through the sense I share with my sister. "
 Rem | My sister could have used 
 Rem |" her clairvoyance to get a
clearer picture, but I... "
 Felix Argyle |" So I guess you picked up a nya sty sort
of synesthesia from her, huh? "
 Crusch Karsten | We don't know the details, either. 
 Crusch Karsten | But it came from the Mathers domain, 
 Crusch Karsten |" which you know as Margrave
Roswaal's territory. "
 Crusch Karsten |" Evidently, some troubling movement was
seen in the vicinity of his mansion. "
 Crusch Karsten | Parts of the domain are already on high alert. 
 Subaru Natsuki | Troubling movement? 
 Crusch Karsten | We did foresee this situation. 
 Crusch Karsten |" From the moment the margrave declared
his intention to back Emilia, a half-elf. "
 Subaru Natsuki |" You mean there's trouble happening
because of that prejudice? "
 Crusch Karsten | That is likely a correct summation. 
 Subaru Natsuki | The moment I leave her side, this happens? 
 Subaru Natsuki | Everyone around her is an enemy. 
 Subaru Natsuki | The only one who can take her side... 
 Subaru Natsuki | is me. 
 Subaru Natsuki | Well, then... 
 Subaru Natsuki | We have to go and help, right? 
 Rem | Y-You mustn't, Subaru-kun. 
 Rem | You have to obey Emilia-sama's orders. 
 Rem | She told you to focus on healing! 
 Rem | And I agree! 
 Rem | Healing must take priority now. 
 Subaru Natsuki | Rem, we're the only ones 
 Subaru Natsuki | who can take Emilia's side! 
 Subaru Natsuki | You heard that, Crusch-san. 
 Subaru Natsuki |" We're going back to the mansion,
back to where Emilia is. "
 Subaru Natsuki | Until it's taken care of, my healing will— 
 Crusch Karsten | Natsuki Subaru. 
 Crusch Karsten | If you leave here, 
 Crusch Karsten | that will make you my enemy. 
 Crusch Karsten | Allow me to correct one idea you have. 
 Crusch Karsten |" I have only allowed you to stay here
as a guest, receiving treatment, "
 Crusch Karsten | because I am contracted to do so. 
 Subaru Natsuki | Contracted? 
 Crusch Karsten | Emilia and I formed a contract 
 Crusch Karsten | regarding your treatment. 
 Crusch Karsten | However, 
 Crusch Karsten | if you abandon that contract yourself, 
 Crusch Karsten | I am not obligated to continue protecting you. 
 Crusch Karsten | The moment you leave this household, 
 Crusch Karsten |" Emilia and I will not hesitate
to become enemies. "
 Subaru Natsuki | I was wrong about you. 
 Subaru Natsuki |" I thought, just maybe,
you and I could get along. "
 Subaru Natsuki |" Yeah, of course... That was just a
little joke over drinks, right? "
 Subaru Natsuki | I was stupid to take you seriously 
 Subaru Natsuki |" when you told me,
an enemy, to do what I could. "
 Subaru Natsuki |" You don't want me to leave
because getting Emilia "
 Subaru Natsuki | out of trouble will be bad for you, right? 
 Felix Argyle | Nyow I think you have it all wrong— 
 Crusch Karsten | Felis, enough. 
 Felix Argyle | No, I will say it. 
 Felix Argyle | The mistake he's making is a bit too grave. 
 Felix Argyle | Even if you leave, nothing will change. 
 Felix Argyle | You'd be wasting your time. 
 Felix Argyle | After making a fool of yourself at the castle 
 Felix Argyle |" and being clobbered by Julius,
nyou still don't realize that? "
 Felix Argyle |" If you stay to finish your treatment,
you'll be much better off. "
 Subaru Natsuki | I've decided. I'm going back to Emilia. 
 Subaru Natsuki |" Though it wasn't for long,
thanks for taking care of me. "
 Felix Argyle | Is it nyot true that a good man 
 Felix Argyle | knows how to take a warning? 
 Subaru Natsuki |" It's thanks to your warning that
I've made up my mind. "
 Subaru Natsuki | Thank you. 
 Subaru Natsuki | Rem, how long until we reach the mansion? 
 Rem | About two and a half days, I think. 
 Subaru Natsuki | Over two days? 
 Subaru Natsuki | It took less than half a day to get here! 
 Rem | We cannot go that way. 
 Rem | There is a fog over the road, 
 Rem | so we need to take a detour. 
 Subaru Natsuki | Who cares about fog? 
 Rem | The fog is created by the White Whale. 
 Rem | Should we encounter it, 
 Rem | we would not survive. 
 Rem |" Thank you for lending us your
dragon-drawn carriage. "
 Rem | In my master's stead, I offer my gratitude for 
 Rem | the favor you have shown us till today. 
 Wilhelm van Astrea | It's nothing. Please take care. 
 Subaru Natsuki | Are you getting anything from Ram? 
 Rem |" No, our shared sense is consciously
controlled, to an extent. "
 Rem | This morning, I think 
 Rem |" that what I sensed was something
that exceeded my sister's control. "
 Subaru Natsuki |" So Ram didn't even mean
to let us know about it... "
 Subaru Natsuki |" Is she trying to keep
us from getting involved? "
 Subaru Natsuki | But why? 
 Subaru Natsuki | She needs me by her side... 
 Subaru Natsuki | I can save her. 
 Subaru Natsuki | Once I do, I'm sure she'll understand. 
 Subaru Natsuki | She has to. 
 Subaru Natsuki | Why are we stopping? 
 Subaru Natsuki | We have to hurry. 
 Rem | I'm sorry, Subaru-kun. 
 Rem | The ground dragon cannot go any farther. 
 Subaru Natsuki | I can't sleep. 
 Rem | Subaru-kun, are you awake? 
 Subaru Natsuki | Yeah. 
 Rem | I cannot sleep, 
 Rem | so I hoped we could talk. 
 Subaru Natsuki | Oh... You, too? 
 Subaru Natsuki | Can't help that, I guess. 
 Subaru Natsuki | You're really worried about the mansion 
 Subaru Natsuki | after what you felt through your shared sense? 
 Subaru Natsuki | It'll be fine. 
 Subaru Natsuki |" We're not the sort of lovable little kids
to get our feelings hurt so easily. "
 Subaru Natsuki | We'll get right back, and I'll fix things. 
 Rem |" Yes, I have put all my faith
in you, Subaru-kun. "
 Subaru Natsuki | R-Rem-san, um, 
 Subaru Natsuki | why are you holding on to me? 
 Rem | Because I want to. 
 Subaru Natsuki | I... I know this feeling... 
 Rem | I am healing your gate, 
 Rem | just as Felix-sama did, Subaru-kun. 
 Subaru Natsuki | O-Oh, healing! 
 Subaru Natsuki | You're healing me... Of course you are. 
 Subaru Natsuki | Because you want to, huh? 
 Subaru Natsuki |" She'll probably be angry with
me at first, won't she? "
 Rem | If you take the time to properly face her 
 Rem | and communicate how you feel with words, 
 Rem | I'm sure she will understand. 
 Rem | You are a wonderful person, after all. 
 Subaru Natsuki | I am? 
 Subaru Natsuki | Yeah... I am, right? 
 Subaru Natsuki | Emilia is hopeless without me. 
 Subaru Natsuki | Because I 
 Subaru Natsuki | care about her... so much... 
 Rem | So save just a tiny bit of that for me, too. 
 Rem | Don't go anywhere. Okay, Subaru-kun? 
 Subaru Natsuki | Rem, wake up! We oversle— 
 EXTRA | Well, now! Good morni— 
 Subaru Natsuki |" Where's the blue-haired girl
who was here with me?! "
 EXTRA | Th-The lady you were with, u-uh— 
 Subaru Natsuki | I can't hear you! 
 EXTRA | I was saying that she left during the night. 
 EXTRA | Here are your things... 
 Subaru Natsuki | What the hell? 
 Subaru Natsuki | What are you thinking, Rem? 
 Subaru Natsuki | I thought that you would understand me... 
 Rem |" ""Dear Subaru-kun. "
 Rem | When you read this letter, 
 Rem | I'm sure you will be very angry with me. 
 Rem | I shall not ask 
 Rem |" for your forgiveness for leaving you
to go to the mansion. "
 EXTRA | The one in there might agree to your offer. 
 Rem | But please understand. 
 Rem |" Bringing you to the mansion right
now would be very dangerous. "
 Subaru Natsuki | Are you the one called Otto? 
 Rem |" So please wait here for me to return."" "
 Subaru Natsuki |" So you think I'm a useless
good-for-nothing, too, Rem? "
 Subaru Natsuki | Okay, fine. If you won't trust me, 
 Subaru Natsuki | then why should I depend on you? 
 Otto Suwen | I'm sorry, but can we please turn back now? 
 Subaru Natsuki | Huh? After coming this far? 
 Otto Suwen | My ground dragon is frightened. 
 Otto Suwen |" It instinctively knows that this place
is too dangerous to approach. "
 Subaru Natsuki | Where are we now? 
 Otto Suwen | We're already in the Mathers domain, 
 Otto Suwen | near a village called Arlam. 
 Subaru Natsuki | Got it! 
 Otto Suwen |" Natsuki-san, you can't go out there!
Let's turn back! "
 Subaru Natsuki | This is far enough, Otto. 
 Subaru Natsuki | You can take the money and all my stuff. 
 Otto Suwen | I can't do that. 
 Otto Suwen | Please rethink this! 
 Otto Suwen | Natsuki-san! 
 Subaru Natsuki | What is this? 
 Subaru Natsuki | It's too quiet... 
 Subaru Natsuki | What was that? 
 Subaru Natsuki | Damn it! 
 Subaru Natsuki | I'm back... 
 Subaru Natsuki | Rem... 
 Subaru Natsuki | Rem... What happened to Rem? 
 Subaru Natsuki | Right. Rem... Rem is... 
 Subaru Natsuki | Rem... Rem... Rem... Rem... 
 Rem |" ""So please wait here for me to return. "
 Rem | When this is all taken care of, 
 Rem | I shall return for you. 
 Rem | Please take care of yourself. 
 Rem | And please... I beg you to wait for my return. 
 Rem | Please. 
 Rem | From your 
 Rem |" Rem."" "
 Subaru Natsuki | No... 
 Subaru Natsuki | No, no, no! 
 Subaru Natsuki |" If I just get a chance, I can make
any problem disappear! "
 Subaru Natsuki | This is wrong. 
 Subaru Natsuki | This isn't what I wanted... 
 Subaru Natsuki | Someone... 
 Subaru Natsuki | Someone... Someone... 
 Subaru Natsuki | Someone... 
 Subaru Natsuki | Someone... 
 Subaru Natsuki | Ram... 
 Subaru Natsuki | Petra... 
 Subaru Natsuki | No... 
 Subaru Natsuki | It's not my fault! 
 Subaru Natsuki | It's not... 
 Subaru Natsuki | Emi... lia... 
 Subaru Natsuki | Ow! 
 Puck | You're too late. 
 Kadomon Risch | Hey! 
 Kadomon Risch | You listening? 
 Subaru Natsuki | What? 
 Kadomon Risch |" Don't ""what"" me! "
 Kadomon Risch | What's with you? You suddenly spaced out. 
 Subaru Natsuki | Oh... 
 Rem | Subaru-kun? 
 Rem | Subaru-kun! 
 Kadomon Risch | Hey! 
 Rem | What's wrong? Do you feel ill? 
 Rem | Um... 
 Rem | Subaru-kun? 
 Rem | Wait, Subaru-kun... What's wrong? 
 Kadomon Risch | Hey, come on. 
 Kadomon Risch | Not in front of my shop. 
 Rem | Calm down... 
 Rem | Subaru-kun? 
 Felix Argyle | I'm pretty sure there's nyo thing we can do. 
 Felix Argyle |" His wounds are one thing, but there's
nyo helping his mental state. "
 Crusch Karsten | Can you tell how this happened? 
 Felix Argyle | No, I've checked every inch of him, but... 
